0	65
1	28
2	85
3	81
4	17
5	84
6	17
7	53
8	2
9	28
10	21
11	14
12	96
13	57
14	96
15	69
16	37
17	37
18	54
19	65
20	39
21	2
22	71
23	33
24	80
25	29
26	62
27	62
28	54
29	98
30	34
31	88
32	41
33	85
34	90
35	58
36	47
37	47
38	96
39	45
40	96
41	14
42	38
43	92
44	52
45	16
46	59
47	38
48	85
49	5
50	45
51	12
52	41
53	11
54	93
55	17
56	47
57	63
58	63
59	70
60	89
61	23
62	18
63	1
64	74
65	12
66	39
67	67
68	49
69	95
70	22
71	2
72	81
73	2
74	60
75	62
76	43
77	37
78	7
79	77
80	2
81	67
82	67
83	4
84	18
85	4
86	38
87	31
88	61
89	91
90	60
91	56
92	87
93	83
94	38
95	11
96	15
97	36
98	82
99	70
100	38
101	16
102	43
103	28
104	77
105	52
106	66
107	14
108	11
109	85
110	31
111	35
112	37
113	51
114	7
115	14
116	64
117	3
118	56
119	69
120	92
121	90
122	94
123	61
124	49
125	34
126	41
127	3
128	25
129	48
130	52
131	29
132	60
133	44
134	95
135	93
136	58
137	57
138	5
139	54
140	34
141	28
142	34
143	63
144	15
145	39
146	56
147	94
148	39
149	43
150	91
151	87
152	26
153	71
154	1
155	46
156	11
157	16
158	74
159	55
160	29
161	25
162	13
163	91
164	42
165	59
166	74
167	88
168	58
169	33
170	35
171	75
172	84
173	1
174	56
175	71
176	89
177	23
178	21
179	21
180	80
181	11
182	61
183	3
184	52
185	65
186	32
187	8
188	98
189	76
190	33
191	64
192	21
193	22
194	30
195	43
196	47
197	57
198	47
199	86
